Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,2003,Sep,9,2003-09-01,extent,484665.157
East_Siberian,2004,Sep,9,2004-09-01,extent,628170.832
East_Siberian,2005,Sep,9,2005-09-01,extent,447112.392
East_Siberian,2006,Sep,9,2006-09-01,extent,530311.713
East_Siberian,2007,Sep,9,2007-09-01,extent,5007.246
East_Siberian,2008,Sep,9,2008-09-01,extent,185305.271
East_Siberian,2009,Sep,9,2009-09-01,extent,473093.875
East_Siberian,2010,Sep,9,2010-09-01,extent,434994.33
East_Siberian,2011,Sep,9,2011-09-01,extent,484626.028
East_Siberian,2012,Sep,9,2012-09-01,extent,42789.427
East_Siberian,2013,Sep,9,2013-09-01,extent,667990.776
East_Siberian,2014,Sep,9,2014-09-01,extent,527873.165
East_Siberian,2015,Sep,9,2015-09-01,extent,333560.9
East_Siberian,2016,Sep,9,2016-09-01,extent,289250.899
East_Siberian,2017,Sep,9,2017-09-01,extent,379756.179
East_Siberian,2018,Sep,9,2018-09-01,extent,403907.147
East_Siberian,2019,Sep,9,2019-09-01,extent,123518.259
East_Siberian,2020,Sep,9,2020-09-01,extent,149265.098
East_Siberian,2021,Sep,9,2021-09-01,extent,420190.021
East_Siberian,2022,Sep,9,2022-09-01,extent,372348.14
East_Siberian,2023,Sep,9,2023-09-01,extent,77348.734
East_Siberian,2024,Sep,9,2024-09-01,extent,356637.369
East_Siberian,1979,Oct,10,1979-10-01,extent,1267656.479
East_Siberian,1980,Oct,10,1980-10-01,extent,1269087.631
East_Siberian,1981,Oct,10,1981-10-01,extent,1224919.672
East_Siberian,1982,Oct,10,1982-10-01,extent,1241420.023
East_Siberian,1983,Oct,10,1983-10-01,extent,1301064.553
East_Siberian,1984,Oct,10,1984-10-01,extent,1263375.271
East_Siberian,1985,Oct,10,1985-10-01,extent,1295486.793
East_Siberian,1986,Oct,10,1986-10-01,extent,1298798.14
East_Siberian,1987,Oct,10,1987-10-01,extent,1283297.466
East_Siberian,1988,Oct,10,1988-10-01,extent,1244646.241
East_Siberian,1989,Oct,10,1989-10-01,extent,1083566.782
East_Siberian,1990,Oct,10,1990-10-01,extent,981438.19
East_Siberian,1991,Oct,10,1991-10-01,extent,1087286.682
East_Siberian,1992,Oct,10,1992-10-01,extent,1218261.988
East_Siberian,1993,Oct,10,1993-10-01,extent,1188181.031
East_Siberian,1994,Oct,10,1994-10-01,extent,1287786.5
East_Siberian,1995,Oct,10,1995-10-01,extent,1041787.36
East_Siberian,1996,Oct,10,1996-10-01,extent,1262178.986
East_Siberian,1997,Oct,10,1997-10-01,extent,1240454.347
East_Siberian,1998,Oct,10,1998-10-01,extent,1281378.921
East_Siberian,1999,Oct,10,1999-10-01,extent,1200298.868
East_Siberian,2000,Oct,10,2000-10-01,extent,1206939.345
East_Siberian,2001,Oct,10,2001-10-01,extent,1283578.382
East_Siberian,2002,Oct,10,2002-10-01,extent,998018.885
